"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Pre-pregnancy BMI"	"Mother's Pre-pregnancy BMI Code"	"Pre-pregnancy Diabetes"	"Pre-pregnancy Diabetes Code"	"Pre-pregnancy Hypertension"	"Pre-pregnancy Hypertension Code"	Births	Average Age of Mother (years)	Average Birth Weight (grams)	Average Number of Prenatal Visits
	"Unidentified Counties, AL"	"01999"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	21	29.24	3457.48	12.65
	"Anchorage Borough, AK"	"02020"	"American Indian or Alaska Native"	"1002-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	14	24.64	3433.57	8.07
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	30	31.13	3503.00	11.04
	"Anchorage Borough, AK"	"02020"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	30.81	3436.06	11.80
	"Unidentified Counties, AK"	"02999"	"American Indian or Alaska Native"	"1002-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	47	24.79	3234.00	10.36
	"Unidentified Counties, AK"	"02999"	"American Indian or Alaska Native"	"1002-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	36	27.61	3401.44	10.51
	"Unidentified Counties, AK"	"02999"	"American Indian or Alaska Native"	"1002-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	27.38	3335.77	10.15
	"Unidentified Counties, AK"	"02999"	"American Indian or Alaska Native"	"1002-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	11	27.18	3842.18	12.45
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	49	29.94	3623.78	10.02
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	41	28.88	3451.15	11.79
	"Unidentified Counties, AK"	"02999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	16	29.94	3687.75	11.69
	"Unidentified Counties, AK"	"02999"	"More than one race"	"M"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	29.00	3110.40	10.10
	"Unidentified Counties, AK"	"02999"	"More than one race"	"M"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	27.73	3332.20	9.53
	"Cochise County, AZ"	"04003"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	28.38	3358.15	8.85
	"Coconino County, AZ"	"04005"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	12	26.58	3023.33	9.36
	"Maricopa County, AZ"	"04013"	"American Indian or Alaska Native"	"1002-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	25.00	3533.90	10.50
	"Maricopa County, AZ"	"04013"	"American Indian or Alaska Native"	"1002-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	24.50	3135.50	8.12
	"Maricopa County, AZ"	"04013"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	77	31.21	3277.06	11.74
	"Maricopa County, AZ"	"04013"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	28	31.43	3162.86	12.96
	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	35	28.06	3126.80	9.49
	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	19	30.00	2836.84	8.17
	"Maricopa County, AZ"	"04013"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	19	28.32	2532.95	10.56
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	31	26.48	2924.55	9.47
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	331	28.12	3293.71	10.84
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	230	28.73	3292.20	11.28
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	127	29.90	3265.91	11.13
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	49	27.71	3176.33	10.57
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	31	30.19	2659.81	9.43
	"Maricopa County, AZ"	"04013"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	13	29.46	2686.46	3.00
	"Navajo County, AZ"	"04017"	"American Indian or Alaska Native"	"1002-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	23.09	3259.18	8.44
	"Navajo County, AZ"	"04017"	"American Indian or Alaska Native"	"1002-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	27.30	3003.10	7.40
	"Pima County, AZ"	"04019"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	32.10	3407.70	11.30
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	87	29.13	3145.13	10.31
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	51	30.53	3108.98	8.78
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	33	26.70	3459.55	10.27
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	16	27.62	3062.94	9.19
	"Pima County, AZ"	"04019"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	10	27.50	1903.30	6.89
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	38	27.76	3189.08	9.97
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	29	28.86	3418.71	13.31
	"Pinal County, AZ"	"04021"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	28.50	3377.70	11.70
	"Yavapai County, AZ"	"04025"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	30.60	3219.40	12.00
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	49	26.10	3113.12	7.62
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	33	27.88	3355.94	9.36
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	28	27.46	3501.86	8.89
	"Yuma County, AZ"	"04027"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	14	28.64	2932.86	8.29
	"Unidentified Counties, AZ"	"04999"	"American Indian or Alaska Native"	"1002-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	24.09	3198.91	5.45
	"Unidentified Counties, AZ"	"04999"	"American Indian or Alaska Native"	"1002-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	27.64	3205.82	7.27
	"Unidentified Counties, AZ"	"04999"	"American Indian or Alaska Native"	"1002-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	10	27.60	3259.00	6.30
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	28.40	3336.36	7.73
	"Unidentified Counties, AZ"	"04999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	21	29.19	3188.81	9.40
	"Benton County, AR"	"05007"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	29.80	3090.00	10.60
	"Benton County, AR"	"05007"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	42	27.05	3634.64	10.79
	"Benton County, AR"	"05007"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	21	28.19	3447.05	10.38
	"Benton County, AR"	"05007"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	29.00	3190.40	10.90
	"Faulkner County, AR"	"05045"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	28.15	3351.46	11.23
	"Pulaski County, AR"	"05119"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	23.71	3086.76	10.88
	"Pulaski County, AR"	"05119"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	24.55	3193.36	10.64
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	35	29.83	3467.11	11.71
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	25	29.96	3485.76	11.52
	"Pulaski County, AR"	"05119"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	28.31	3532.77	11.00
	"Saline County, AR"	"05125"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	27.25	3166.25	12.50
	"Washington County, AR"	"05143"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	33	29.36	3443.61	11.16
	"Washington County, AR"	"05143"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	29.44	3180.00	8.69
	"Washington County, AR"	"05143"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	14	30.36	3672.50	10.00
	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	34	23.71	3034.24	8.29
	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	20	24.55	3093.45	9.10
	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	23.40	2942.50	7.20
	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	11	26.91	2736.55	9.27
	"Unidentified Counties, AR"	"05999"	"Black or African American"	"2054-5"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	11	27.91	2837.73	9.00
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	17	23.71	3129.12	12.35
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	161	26.12	3367.30	10.65
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	93	25.90	3485.24	10.52
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	60	26.88	3310.95	11.25
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	32	26.22	3503.34	11.03
	"Unidentified Counties, AR"	"05999"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	26	25.08	3450.04	10.92
	"Alameda County, CA"	"06001"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	17	31.41	2995.06	9.06
	"Alameda County, CA"	"06001"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	227	32.64	3310.14	10.33
	"Alameda County, CA"	"06001"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	94	32.68	3220.56	9.85
	"Alameda County, CA"	"06001"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	22	32.59	3355.55	11.41
	"Alameda County, CA"	"06001"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	87	30.69	3508.01	10.39
	"Alameda County, CA"	"06001"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	67	32.04	3518.67	10.21
	"Alameda County, CA"	"06001"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	22	31.95	3454.59	10.36
	"Alameda County, CA"	"06001"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	12	34.17	3422.42	8.67
	"Butte County, CA"	"06007"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	24	28.96	3568.17	11.79
	"Butte County, CA"	"06007"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	29.73	3386.73	11.00
	"Contra Costa County, CA"	"06013"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	60	32.62	3176.22	11.02
	"Contra Costa County, CA"	"06013"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	29	32.90	3280.48	11.45
	"Contra Costa County, CA"	"06013"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	15	32.67	3428.80	12.00
	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	98	31.58	3368.26	11.40
	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	57	30.28	3623.42	11.19
	"Contra Costa County, CA"	"06013"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	33	29.91	3463.94	10.27
	"El Dorado County, CA"	"06017"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	21	30.14	3688.29	10.00
	"El Dorado County, CA"	"06017"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	32.06	3175.71	10.12
	"Fresno County, CA"	"06019"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	29	31.62	3144.66	12.00
	"Fresno County, CA"	"06019"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	32.20	3208.27	13.47
	"Fresno County, CA"	"06019"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	60	28.55	3122.95	12.97
	"Fresno County, CA"	"06019"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	51	29.02	3342.41	12.69
	"Fresno County, CA"	"06019"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	34	28.38	3253.97	11.44
	"Fresno County, CA"	"06019"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	17	27.65	3101.47	11.81
	"Fresno County, CA"	"06019"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	14	33.21	3396.79	14.57
	"Fresno County, CA"	"06019"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	12	25.58	2643.33	6.00
	"Humboldt County, CA"	"06023"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	33.53	3213.59	11.71
	"Humboldt County, CA"	"06023"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	31.00	3790.64	10.64
	"Kern County, CA"	"06029"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	31.18	3153.09	12.73
	"Kern County, CA"	"06029"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	27	27.44	3404.81	12.76
	"Kern County, CA"	"06029"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	36	29.67	3323.58	10.47
	"Kern County, CA"	"06029"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	23	27.83	3116.96	12.50
	"Kern County, CA"	"06029"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	33	29.24	3147.42	13.07
	"Los Angeles County, CA"	"06037"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	17	32.82	3083.94	11.12
	"Los Angeles County, CA"	"06037"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	195	33.89	3215.83	12.32
	"Los Angeles County, CA"	"06037"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	60	33.38	3012.32	12.12
	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	34	28.06	2890.00	10.35
	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	28	27.21	2414.64	8.58
	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	15	28.93	2615.47	9.73
	"Los Angeles County, CA"	"06037"	"Black or African American"	"2054-5"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	12	30.25	3083.83	9.42
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	25	26.56	2932.40	11.88
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	391	30.53	3236.94	11.77
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	264	30.03	3217.62	11.30
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	145	31.39	3146.71	12.53
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	51	30.16	3185.00	11.84
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	33	31.91	3226.45	12.72
	"Los Angeles County, CA"	"06037"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	33	30.58	2696.06	9.58
	"Los Angeles County, CA"	"06037"	"More than one race"	"M"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	34.00	3138.50	10.06
	"Marin County, CA"	"06041"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	32	33.19	3363.41	11.34
	"Marin County, CA"	"06041"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	13	32.69	3596.69	9.62
	"Merced County, CA"	"06047"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	15	23.33	2932.60	11.80
	"Merced County, CA"	"06047"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	28.38	3195.25	13.93
	"Monterey County, CA"	"06053"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	58	28.29	3412.33	12.33
	"Monterey County, CA"	"06053"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	49	28.67	3282.73	11.61
	"Monterey County, CA"	"06053"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	29.23	3416.31	11.31
	"Monterey County, CA"	"06053"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	13	30.85	3429.31	11.31
	"Napa County, CA"	"06055"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	18	32.89	3362.22	10.67
	"Orange County, CA"	"06059"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	17	33.00	3022.94	14.18
	"Orange County, CA"	"06059"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	109	33.61	3172.23	13.88
	"Orange County, CA"	"06059"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	22	33.00	3314.14	14.55
	"Orange County, CA"	"06059"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	19	30.11	2862.32	14.21
	"Orange County, CA"	"06059"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	231	31.46	3332.82	13.96
	"Orange County, CA"	"06059"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	88	30.74	3487.82	13.16
	"Orange County, CA"	"06059"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	36	31.97	3543.94	14.83
	"Orange County, CA"	"06059"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	17	30.47	3421.71	11.41
	"Orange County, CA"	"06059"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	14	25.43	2125.36	3.20
	"Orange County, CA"	"06059"	"More than one race"	"M"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	30.82	3527.00	16.18
	"Placer County, CA"	"06061"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	25	31.68	3171.56	10.36
	"Placer County, CA"	"06061"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	53	32.25	3430.25	11.49
	"Placer County, CA"	"06061"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	27	29.59	3650.78	11.07
